,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-05-22,Predictors of mortality in hospitalized COVID-19 patients: A systematic review and meta-analysis.,https://doi.org/10.1002/jmv.26050,Journal of medical virology,,,,,,,,OR=4.92,1.54,15.86,<0.05,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,6 studies enrolling 948 patients,"PubMed, Google scholar, Web of Science, and China National Knowledge Infrastructure (CNKI) between January 1, 2020 and April 24, 2020 without language restriction",,N,N
1,2020-05-20,Type 1 and Type 2 diabetes and COVID-19 related mortality in England: a whole population study,https://www.england.nhs.uk/wp-content/uploads/2020/05/valabhji-COVID-19-and-Diabetes-Paper-1.pdf,NHS England,,,,,,,,AOR 2.23,2.16,2.31,,Significant,Adjusted,Extracted,,Retrospective observational study,61414470,"All individuals registered with a GP practice in England and alive on the 19th February; data extracted on May 11, 2020.",,N,N
2,2020-05-14,"Clinical Characteristics and Risk Factors for Mortality of COVID-19 Patients With Diabetes in Wuhan, China: A Two-Center, Retrospective Study.",https://doi.org/10.2337/dc20-0598,Diabetes care,,,,,,,,OR 2.10,18.92,0.0,,Significant,Not Adjusted,Calculated,,Retrospective observational study,153,Renmin Hospital of Wuhan University and Zhongnan Hospital of Wuhan University from 1 January 2020 to 8 March 2025,,N,Y
3,2020-05-14,The association of cardiovascular disease and other pre-existing comorbidities with COVID-19 mortality: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.10.20097253v1?rss=1,MedRxiv,,,,,,,,RR 2.72,0.9,8.21,,Not Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,3 studies,"PubMed (MEDLINE), OVID (MEDLINE, HEALTHSTAR), SCOPUS, and medrxiv.org from October 1, 2019 to May 1, 2028",,N,N
4,2020-05-11,Effect of underlying comorbidities on the infection and severity of COVID-19 in South Korea,http://medrxiv.org/cgi/content/short/2020.05.08.20095174v1?rss=1,MedRxiv,OR 3.89,2.85,5.31,0.0,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,5172,"The insurance claims database of the HIRA of South Korea through April 8, 2020",,Y,N
5,2020-04-25,The role of comorbidities and clinical predictors of severe disease in COVID-19: a systematic review and meta-analysis Emails,http://doi.org/10.1101/2020.04.21.20074633,,OR 3.94,0.88,17.59,,Not Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,4 studies,"PubMed, Scopus, EMBASE, Web of Science, and Google Scholar searched through March 12 2024",,Y,N
6,2020-04-15,Risk Factors of Fatal Outcome in Hospitalized Subjects With Coronavirus Disease 2019 From a Nationwide Analysis in China Q28,http://doi.org/10.1016/j.chest.2020.04.010,,,,,,,,,HR 3.1,1.07,8.97,,Significant,Adjusted,Extracted,,Retrospective observational study,1590,"575 hospitals in China through January 31, 2020",,N,N
7,2020-04-08,Does comorbidity increase the risk of patients with COVID-19: evidence from meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7185114/,Aging,OR 3.89,1.64,9.22,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,1558,"PubMed (Medline), EMBASE, Springer, Web of Science, and Cochrane Library databases up to date to March 1, 2020",,N,N
8,2020-04-03,History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848,medRxiv,,,,,,,,AHR 1.9,0.9,3.8,0.07,Not Significant,Adjusted,Extracted,,Retrospective observational study,275,"mainland China outside of Hubei Province, from December 18th, 2019 to March 8, 2029",,N,N
9,2020-04-03,History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848,medRxiv,,,,,,,,HR 2.9,1.4,5.8,<0.01,Significant,Not Adjusted,Extracted,,Retrospective observational study,275,"mainland China outside of Hubei Province, from December 18th, 2019 to March 8, 2023",,N,N
10,2020-04-02,Coronavirus Disease 2019 in elderly patients: characteristics and prognostic factors based on 4-week follow-up,https://www.journalofinfection.com/article/S0163-4453(20)30146-8/pdf,Journal of Infection,,,,,,,,HR 3.26,1.66,6.4,<0.01,Significant,Not Adjusted,Extracted,,Prospective observational study,339,"age over 60 years old admitted to Renmin Hospital of Wuhan University from Jan 1 to Feb 6, 2020 (followed up until March 5)",,N,N
11,2020-03-24,"Myocardial injury is associated with in-hospital mortality of confirmed or suspected COVID-19 in Wuhan, China: A single center retrospective cohort study",https://doi.org/10.1101/2020.03.21.20040121,medRxiv,,,,,,,Previous stroke,OR 2.84,0.71,11.28,0.14,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,110,Patients from Wuhan No.1 Hospital from Dec 25th to Feb 15th.,,N,N
12,2020-03-23,Prognostic value of C-reactive protein in patients with COVID-19,https://doi.org/10.1101/2020.03.21.20040360,medRxiv,,,,,,,,OR: 3.37,1.59,7.11,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,298,"Eastern Campus of Renmin Hospital of Wuhan University from Jan 30 to Feb 20, 2025",,N,Y
13,2020-03-17,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",https://doi.org/10.1101/2020.03.17.20037572,medRxiv,OR 3.22,1.49,6.97,,Significant,Not Adjusted,Calculated,,,,,,,,,Systematic review and meta-analysis,5 studies enrolling 2197 patients,"PubMed, Web of Science Core Collection, Embase, Cochrane and MedRxiv databases were searched through February 25, 2020.",,N,N
14,2020-03-13,Epidemiological characteristics of confirmed COVID-19 cases in Tianjin,https://doi.org/10.3760/cma.j.cn112338-20200221-00146,Chinese Journal of Epidemiology,OR 2.48,1.14,5.4,,Significant,Not Adjusted,Extracted,,,,,,,,,Cross-sectional study,135,Tianjin from Jan 11-Feb 14,,N,N
15,2020-05-19,Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.13.20100495v1?rss=1,MedRxiv,,,,,,,,OR=2.98,1.4,6.35,<0.05,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,5 studies enrolling 871 patients,"PubMed from January 1 until April 19, 2020",,N,N
