,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 0.86,0.69,1.09,,Not Significant,Not Adjusted,Extracted,RR 0.42,0.32,0.56,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2490.0,"103 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,Y
1,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 0.96,0.76,1.21,,Not Significant,Adjusted,Extracted,RR 1.17,0.91,1.51,,Not Significant,Adjusted,Extracted,,Retrospective observational study,2490.0,"104 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,Y
2,2020-05-20,Extent of prior lung irradiation and mortality in COVID-19 patients with a cancer history,https://doi.org/10.1016/j.adro.2020.04.028,Adv Radiat Oncol,,,,,,,,HR=0.66,0.26,1.66,0.37,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,107.0,"Montefiore Medical Center and Albert Einstein College of Medicine from March 14, 2020 to April 15, 2020",,N,N
3,2020-05-19,Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19,https://www.ncbi.nlm.nih.gov/pubmed/32423368/,Otolaryngol Head Neck Surg,AOR=0.83,0.44,1.55,0.57,Not Significant,Adjusted,Extracted,,,,,,,,,Retrospective observational study,486.0,"Ten hospitals in the Chicago metropolitan area from March 1, 2020 to April 8, 2020",,Y,N
4,2020-05-19,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",https://www.sciencedirect.com/science/article/pii/S0140673620311892,Lancet,,,,,,,,OR 0.33,1.52,0.37,,Not Significant,Not Adjusted,Calculated,,Prospective observational study,191.0,"NewYork-Presbyterian hospitals Milstein Hospital and Allen Hospital from March 2, 2020 to April 1, 2020",,N,N
5,2020-05-18,Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans,http://medrxiv.org/cgi/content/short/2020.05.12.20099135v1?rss=1,MedRxiv,,,,,,,,AOR=1.80,1.63,1.99,,Significant,Adjusted,Extracted,,Retrospective observational study,,"Veterans Administration Healthcare System from February 8, 2020 through May 4, 2021",,N,N
6,2020-05-18,Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans,http://medrxiv.org/cgi/content/short/2020.05.12.20099135v1?rss=1,MedRxiv,,,,,,,,AOR=2.25,2.04,2.49,,Significant,Adjusted,Extracted,,Retrospective observational study,,"Veterans Administration Healthcare System from February 8, 2020 through May 4, 2020",,N,N
7,2020-05-06,Correlation of coagulation parameters with clinical outcomes in Coronavirus-19 affected minorities in United States: Observational cohort,https://doi.org/10.1101/2020.05.01.20087932,MedRxiv,,,,,,,,OR 0.59,0.31,1.11,0.1,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,217.0,"Montefiore Medical Center/University Hospital for Albert Einstein College of Medicine, Moses Campus between March 20th to March 31st 2020",,N,Y
8,2020-05-05,Pre-Existing Characteristics Associated with Covid-19 Illness Severity,https://doi.org/10.1101/2020.04.29.20084533,MedRxiv,AOR 1.39,0.79,2.45,0.26,Not Significant,Adjusted,Extracted,,,,,,,,,Retrospective observational study,442.0,"Cedars-Sinai Health System includes Cedars-Sinai Medical Center (CSMC), Marina Del Rey Hospital (MDRH), and affiliated clinics from Feb 26, 2020 to Mar 21, 2020",,Y,N
9,2020-05-05,Pre-Existing Characteristics Associated with Covid-19 Illness Severity,https://doi.org/10.1101/2020.04.29.20084533,MedRxiv,AOR 1.54,0.91,2.6,0.11,Not Significant,Adjusted,Extracted,,,,,,,,,Retrospective observational study,442.0,"Cedars-Sinai Health System includes Cedars-Sinai Medical Center (CSMC), Marina Del Rey Hospital (MDRH), and affiliated clinics from Feb 26, 2020 to Mar 21, 2020",,Y,N
