,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,OR 0.51,0.78,0.0,,Significant,Not Adjusted,Calculated,,Retrospective observational study,572,"Age < 50, New York City between March 1st and May 17th, 2020",,N,Y
1,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,OR 0.87,6.88,0.09,,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,2834,"Age > 50, New York City between March 1st and May 17th, 2020",,N,Y
2,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.03,0.93,1.13,,Not Significant,Not Adjusted,Extracted,RR 0.75,0.5,0.99,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2490,"99 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,Y
3,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.01,0.89,1.15,,Not Significant,Adjusted,Extracted,RR 1.07,0.85,1.35,,Not Significant,Adjusted,Extracted,,Retrospective observational study,2490,"100 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,Y
4,2020-05-20,Type 1 and Type 2 diabetes and COVID-19 related mortality in England: a whole population study,https://www.england.nhs.uk/wp-content/uploads/2020/05/valabhji-COVID-19-and-Diabetes-Paper-1.pdf,NHS England,,,,,,,,AOR 1.73,1.63,1.83,<0.01,Significant,Adjusted,Extracted,,Retrospective observational study,"61,414,470","All individuals registered with a GP practice in England and alive on the 19th February; data extracted on May 11, 2020.",,N,N
5,2020-05-19,Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19,https://www.ncbi.nlm.nih.gov/pubmed/32423368/,Otolaryngol Head Neck Surg,AOR=0.56,0.3,1.01,0.06,Not Significant,Adjusted,Extracted,,,,,,,,,Retrospective observational study,486,"Ten hospitals in the Chicago metropolitan area from March 1, 2020 to April 8, 2020",,Y,N
6,2020-05-19,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",https://www.sciencedirect.com/science/article/pii/S0140673620311892,Lancet,,,,,,,,OR 0.32,1.92,0.59,,Not Significant,Not Adjusted,Calculated,,Prospective observational study,81,"NewYork-Presbyterian hospitals Milstein Hospital and Allen Hospital from March 2, 2020 to April 1, 2020",,N,N
7,2020-05-18,Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans,http://medrxiv.org/cgi/content/short/2020.05.12.20099135v1?rss=1,MedRxiv,,,,,,,,AOR=2.83,2.65,3.03,,Significant,Adjusted,Extracted,,Retrospective observational study,,"Veterans Administration Healthcare System from February 8, 2020 through May 4, 2023",,N,N
8,2020-05-18,Covid-19 by Race and Ethnicity: A National Cohort Study of 6 Million United States Veterans,http://medrxiv.org/cgi/content/short/2020.05.12.20099135v1?rss=1,MedRxiv,,,,,,,,AOR=3.13,2.94,3.33,,Significant,Adjusted,Extracted,,Retrospective observational study,,"Veterans Administration Healthcare System from February 8, 2020 through May 4, 2022",,N,N
9,2020-05-15,Risk factors for clinical progression in patients with COVID-19: a retrospective study of electronic health record data in the United Kingdom,http://medrxiv.org/cgi/content/short/2020.05.11.20093096v1?rss=1,MedRxiv,AOR=1.02,0.35,2.61,0.98,Not Significant,Adjusted,Extracted,AOR=1.85,0.71,4.65,0.2,Not Significant,Adjusted,Extracted,,Retrospective observational study,3753,Emergency department of Chelsea & Westminster Hospital NHS Foundation Trust between 1st January 2020 and 23rd April 2020,,N,N
