,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,AOR 1.0,0.8,1.2,0.94,Not Significant,Adjusted,Extracted,,Retrospective observational study,2834,"Age > 50, New York City between March 1st and May 17th, 2020",,N,Y
1,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,AOR 2.5,1.0,6.5,0.05,Not Significant,Adjusted,Extracted,,Retrospective observational study,572,"Age < 50, New York City between March 1st and May 17th, 2020",,N,Y
2,2020-05-22,Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.,https://doi.org/10.1136/bmj.m1985,BMJ,,,,,,,,HR=1.13,1.02,1.24,<0.05,Significant,Adjusted,Extracted,,Prospective observational study,20133,"208 acute care hospitals in England, Wales, and Scotland between 6 February and 19 April 2020",,N,N
3,2020-05-19,Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19,https://www.ncbi.nlm.nih.gov/pubmed/32423368/,Otolaryngol Head Neck Surg,OR 1.31,0.73,2.32,0.37,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,486,"Ten hospitals in the Chicago metropolitan area from March 1, 2020 to April 8, 2020",,Y,N
4,2020-05-14,The association of cardiovascular disease and other pre-existing comorbidities with COVID-19 mortality: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.10.20097253v1?rss=1,MedRxiv,,,,,,,,RR 1.93,1.15,3.24,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,4 studies,"PubMed (MEDLINE), OVID (MEDLINE, HEALTHSTAR), SCOPUS, and medrxiv.org from October 1, 2019 to May 1, 2024",,N,N
5,2020-05-12,Development and Validation of a Clinical Risk Score to Predict the Occurrence of Critical Illness in Hospitalized Patients With COVID-19.,https://doi.org/10.1001/jamainternmed.2020.2033,JAMA internal medicine,OR 7.43,2.83,19.51,0,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,1590,"China National Health Commission between November 21, 2019 and January 31, 2020",,Y,N
6,2020-05-07,OpenSAFELY: factors associated with COVID-19-related hospital death in the linked electronic health records of 17 million adult NHS patients.,http://medrxiv.org/cgi/content/short/2020.05.06.20092999v1?rss=1,MedRxiv,,,,,,,,AHR 1.56,1.29,1.89,,Significant,Adjusted,Extracted,,Retrospective observational study,"17,425,445","TPP general practice in England from February 1 to April 25, 2020.",,N,N
7,2020-05-06,Cancer is associated with the severity and mortality of patients with COVID-19: a systematic review and meta-analysis,https://doi.org/10.1101/2020.05.01.20087031,MedRxiv,OR 2.84,1.75,4.62,<0.01,Significant,Not Adjusted,Extracted,OR 2.60,1.28,5.26,<0.01,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,"34 studies, 8080 patients","PubMed, EMBASE.com, the Cochrane Central Register of Controlled Trials (CENTRAL), Web of Science, Chinese Biomedical Literature Database (CBM), China National Knowledge Infrastructure (CNKI), and Wanfang Database up to April 12, 2020",,Y,N
8,2020-04-29,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.",https://doi.org/10.1101/2020.04.24.20077875,medrxiv,AOR: 1.94,0.5,7.52,0.34,Not Significant,Adjusted,Extracted,,,,,,,,,Retrospective observational study,610,"14 hospitals in Zhejiang province, China between Jan 10 and Feb 28, 2020 and confirmed diagnosis of Covid-19 infection were included",,N,N
9,2020-04-23,Risk factors of critical & mortal COVID-19 cases: A systematic literature review and meta-analysis,https://doi.org/10.1016/j.jinf.2020.04.021,Journal of Infection,OR: 1.60,0.81,3.18,0.18,Not Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,3034 patients from 13 studies,China,,Y,N
10,2020-04-21,Do Patients with Cancer Have a Poorer Prognosis of COVID-19? An Experience in New York City. Title: Do Patients with Cancer Have a Poorer Prognosis of COVID-19? An Experience in New York,http://doi.org/10.1016/j.annonc.2020.04.006,Annals of Oncology,RR 1.89,1.37,2.61,,Significant,Not Adjusted,Extracted,RR 1.15,0.84,1.57,,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,5688,"Mount Sinai Hospital from March 1 to April 6, 2020",,Y,N
11,2020-04-17,Well-aerated Lung on Admitting Chest CT to Predict Adverse Outcome in COVID-19 Pneumonia.,https://doi.org/10.1148/radiol.2020201433,Radiology,OR 3.55,1.62,7.79,0,,,,,,,,,,,,Retrospective observational study,236,"Italy, Emergency department admissions with CT results",,Y,N
12,2020-04-17,Outcomes of the 2019 Novel Coronavirus in patients with or without a history of cancer - a multi-centre North London experience,https://doi.org/10.1101/2020.04.16.20061127,medRxiv,OR 0.68,0.2,2.32,0.53,Not Significant,Not Adjusted,Calculated,OR 1.0,0.28,3.63,1,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,52,"COVID-19 patients with or without a history of cancer, admited to four London hospitals from 12th March to 7th April 2020.",,N,N
13,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,https://doi.org/10.1101/2020.04.13.20063545,medRxiv,HR 1.4,1.1,1.7,,Significant,Not Adjusted,Extracted,HR 1.4,1.0,2.0,,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,2653,"All symptomatic patients who tested positive in Reggio from February 27 to April 2, 2020.",,N,N
14,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,http://doi.org/10.1101/2020.04.13.20063545,,,,,,,,,HR 1.4,1.0,2.0,,Significant,Adjusted,Extracted,,Retrospective observational study,2362,"All patients in Reggio Emilia, Italiy from Feb 27 to April 2, 2025",,N,N
