,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-05-25,Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246302/,Int J Public Health,OR 17.8,6.56,48.2,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,Not reported out of 7 studies enrolling 2912 patients,"MEDLINE, EMBASE and Global Health",,Y,N
1,2020-05-25,Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246302/,Int J Public Health,OR 6.42,2.44,16.9,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,Not reported out of 7 studies enrolling 2912 patients,"MEDLINE, EMBASE and Global Health",,N,N
2,2020-05-22,Predictors of mortality in hospitalized COVID-19 patients: A systematic review and meta-analysis.,https://doi.org/10.1002/jmv.26050,Journal of medical virology,,,,,,,,OR=2.09,0.49,8.9,0.32,Not Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,4 studies enrolling 450 patients,"PubMed, Google scholar, Web of Science, and China National Knowledge Infrastructure (CNKI) between January 1, 2020 and April 24, 2020 without language restriction",,N,N
3,2020-05-19,Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.13.20100495v1?rss=1,MedRxiv,,,,,,,,OR=3.65,1.25,10.64,<0.05,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,4 studies enrolling 1199 patients,"PubMed from January 1 until April 19, 2020",,N,N
4,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,,,,,,,,AOR=1.85,0.75,4.56,0.18,Not Significant,Adjusted,Extracted,,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
5,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,,,,,,,,AOR=2.05,0.76,5.51,0.16,Not Significant,Adjusted,Extracted,,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
6,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,OR=2.00,0.83,4.82,0.13,Not Significant,Not Adjusted,Extracted,OR=3.39,1.48,7.8,<0.05,Significant,Not Adjusted,Extracted,,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
7,2020-05-14,"Obesity and COVID-19 Severity in a Designated Hospital in Shenzhen, China.",https://doi.org/10.2337/dc20-0576,Diabetes care,OR 2.39,1.13,5.06,0.02,,,,,,,,,,,,Retrospective observational study,383,"Third People’s Hospital of Shenzhen, from 11 January 2020 to 16 February 2020 (followed until 26 March 2020)",,N,N
8,2020-05-14,Early estimation of the risk factors for hospitalisation and mortality by COVID-19 in Mexico,http://medrxiv.org/cgi/content/short/2020.05.11.20098145v1?rss=1,MedRxiv,,,,,,,,OR 3.39,5.8,0.0,,Significant,Not Adjusted,Calculated,,Retrospective observational study,9946,"Epidemiological Surveillance System for Viral Respiratory Diseases of the Mexican Ministry of Health (Secretaría de Salud, SS) on April 23rd, 2020",,N,N
9,2020-05-14,The association of cardiovascular disease and other pre-existing comorbidities with COVID-19 mortality: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.10.20097253v1?rss=1,MedRxiv,,,,,,,,RR 1.76,0.92,3.36,,Not Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,7 studies,"PubMed (MEDLINE), OVID (MEDLINE, HEALTHSTAR), SCOPUS, and medrxiv.org from October 1, 2019 to May 1, 2021",,N,N
