,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-04-29,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.",https://doi.org/10.1101/2020.04.24.20077875,medrxiv,AOR: 0.94,0.31,2.83,0.91,Not Significant,Adjusted,Extracted,,,,,,,,,Retrospective observational study,610,"14 hospitals in Zhejiang province, China between Jan 10 and Feb 28, 2020 and confirmed diagnosis of Covid-19 infection were included",,N,N
1,2020-04-13,"Suppressed T cell-mediated immunity in patients with COVID-19: a clinical retrospective study in Wuhan, China First Authors",doi.org/10.1016/j.jinf.2020.04.012,Journal of Infection,OR 5.26,1.89,14.64,<0.01,Significant,Not Adjusted,Calculated,OR 4.54,1.49,13.87,0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,187,"Hubei Provincial Hospital of traditional Chinese and Western Medicine from Dec 26, 2019 to Mar 1,2022",,Y,N
2,2020-04-09,Predictors of mortality for patients with COVID-19 pneumonia caused by SARS-CoV-2: a prospective cohort study,https://doi.org/10.1183/13993003.00524-2020,Eur. respir. j,,,,,,,,OR 2.46,0.76,8.04,0.01,Not Significant,Adjusted,Extracted,,Prospective observational study,179,"Wuhan Pulmonary Hospital from December 25, 2019 to February 7, 2020 (followed through March 24, 2020)",,N,N
3,2020-04-09,Predictors of mortality for patients with COVID-19 pneumonia caused by SARS-CoV-2: a prospective cohort study,https://doi.org/10.1183/13993003.00524-2020,Eur. respir. j,,,,,,,,OR 4.08,1.58,10.51,<0.01,Significant,Not Adjusted,Extracted,,Prospective observational study,179,"Wuhan Pulmonary Hospital from December 25, 2019 to February 7, 2020 (followed through March 24, 2020)",,N,N
4,2020-03-30,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China",https://doi.org/10.1101/2020.03.25.20037721,medRxiv,OR 6.53,2.75,15.5,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,323,"Tianyou Hospital from January 8 to February 20, 2020",,Y,N
5,2020-03-30,"Risk Factors Associated with Clinical Outcomes in 323 COVID-19 Patients in Wuhan, China",https://doi.org/10.1101/2020.03.25.20037721,medRxiv,OR 2.49 (95% CI: 1.07-5.79),1.07,5.79,,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,323,"Tianyou Hospital from January 8 to February 20, 2020",,N,N
6,2020-03-27,Predicting COVID-19 malignant progression with AI techniques,http://doi.org/10.1101/2020.03.20.20037325,medrxiv,OR 8.36,3.1,22.6,<0.01,,,,,,,,,,,,Retrospective observational study,133,"Wuhan Pulmonary Hospital from January 3 to February 13, 2024",,N,N
7,2020-03-11,Prevalence and impact of cardiovascular metabolic diseases on COVID-19 in China,https://doi.org/10.1007/s00392-020-01626-9,Clinical Research in Cardiology,RR: 3.30,2.03,5.36,<0.01,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,5 studies enrolling 1514 patients,EMBASE and PubMed were searched from December 2019 to February 2020,,N,N
8,2020-02-25,"Neurological Manifestations of Hospitalized Patients with COVID-19 in Wuhan, China: a retrospective case series study",https://doi.org/10.1101/2020.02.22.20026500,medRxiv,OR 1.27,0.44,3.65,0.65,Not Significant,Not Adjusted,Calculated,,,,,,,,,Case series,214,Union Hospital of Huazhong University of Science and Technology in Wuhan from 16 January to 19 February 2020,,N,N
9,2020-02-12,Caution on Kidney Dysfunctions of COVID-19 Patients,http://doi.org/10.1101/2020.02.08.20021212,,OR 1.71,0.93,3.16,0.09,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,193,"Wuhan Tongji hospital, Wuhan Pulmonary Hospital, Huangshi Central Hospital and Chongqing Southwest Hospital from January 6 to February 21, 2022",,N,N
