,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,AOR 1.7,1.4,2.1,<0.01,Significant,Adjusted,Extracted,,Retrospective observational study,2834,"Age > 50, New York City between March 1st and May 17th, 2020",,N,Y
1,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,AOR 3.3,1.4,7.7,<0.01,Significant,Adjusted,Extracted,,Retrospective observational study,572,"Age < 50, New York City between March 1st and May 17th, 2020",,N,Y
2,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.05,0.94,1.16,,Not Significant,Adjusted,Extracted,RR 1.33,1.1,1.61,,Significant,Adjusted,Extracted,,Retrospective observational study,2490,"122 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,Y
3,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.23,1.11,1.37,,Significant,Not Adjusted,Extracted,RR 2.45,2.04,2.93,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2490,"121 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,Y
4,2020-05-22,Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.,https://doi.org/10.1136/bmj.m1985,BMJ,,,,,,,,HR=1.28,1.18,1.39,<0.05,Significant,Adjusted,Extracted,,Prospective observational study,20133,"208 acute care hospitals in England, Wales, and Scotland between 6 February and 19 April 2020",,N,N
5,2020-05-22,Predictors of mortality in hospitalized COVID-19 patients: A systematic review and meta-analysis.,https://doi.org/10.1002/jmv.26050,Journal of medical virology,,,,,,,,OR 9.41,3.23,27.4,<0.01,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,6 studies enrolling 1087 patients,"PubMed, Google scholar, Web of Science, and China National Knowledge Infrastructure (CNKI) between January 1, 2020 and April 24, 2020 without language restriction",,N,N
6,2020-05-19,Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.13.20100495v1?rss=1,MedRxiv,OR=1.20,0.13,10.82,0.87,Not Significant,Not Adjusted,Extracted,OR=4.26,0.62,29.09,0.14,Not Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,3 studies enrolling 366 patients,"PubMed from January 1 until April 19, 2020",,Y,N
7,2020-05-19,Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19,https://www.ncbi.nlm.nih.gov/pubmed/32423368/,Otolaryngol Head Neck Surg,OR 1.01,0.5,2.03,0.98,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,486,"Ten hospitals in the Chicago metropolitan area from March 1, 2020 to April 8, 2020",,Y,N
8,2020-05-19,"Epidemiology, clinical course, and outcomes of critically ill adults with COVID-19 in New York City: a prospective cohort study",https://www.sciencedirect.com/science/article/pii/S0140673620311892,Lancet,,,,,,,,HR=1.50,0.92,2.45,,Not Significant,Not Adjusted,Extracted,,Prospective observational study,257,"NewYork-Presbyterian hospitals Milstein Hospital and Allen Hospital from March 2, 2020 to April 1, 2020",,N,N
9,2020-05-19,When a nephrology ward becomes a COVID-19 ward: the Cremona experience,https://www.ncbi.nlm.nih.gov/pubmed/32430898/,J Nephrol,,,,,,,,OR 3.07,69.92,0.0,,Significant,Not Adjusted,Calculated,,Retrospective observational study,82,"Emergency Department  of Cremona Hospital, February 20 to April 15, 2020",,N,N
10,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,OR=1.30,0.62,2.69,0.49,Not Significant,Not Adjusted,Extracted,OR=2.14,1.08,4.24,<0.05,Significant,Not Adjusted,Extracted,,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
11,2020-05-14,Clinical Characteristics and Outcomes of Patients With Diabetes and COVID-19 in Association With Glucose-Lowering Medication.,https://doi.org/10.2337/dc20-0660,Diabetes care,OR=7.23,2.82,18.57,,Significant,Not Adjusted,Extracted,OR=13.91,7.23,26.8,,Significant,Not Adjusted,Extracted,,Retrospective observational study,904,Central Hospital of Wuhan from 1 January 2020 to 17 March 2020,,N,Y
12,2020-05-14,Early estimation of the risk factors for hospitalisation and mortality by COVID-19 in Mexico,http://medrxiv.org/cgi/content/short/2020.05.11.20098145v1?rss=1,MedRxiv,,,,,,,,OR 2.93,5.35,0.0,,Significant,Not Adjusted,Calculated,,Retrospective observational study,9946,"Epidemiological Surveillance System for Viral Respiratory Diseases of the Mexican Ministry of Health (Secretaría de Salud, SS) on April 23rd, 2020",,N,N
