,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-05-22,Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.,https://doi.org/10.1136/bmj.m1985,BMJ,,,,,,,,HR=1.51,1.21,1.88,<0.05,Significant,Adjusted,Extracted,,Prospective observational study,20133,"208 acute care hospitals in England, Wales, and Scotland between 6 February and 19 April 2020",,N,N
1,2020-05-19,Risk factors for adverse clinical outcomes in patients with COVID-19: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.13.20100495v1?rss=1,MedRxiv,OR=0.56,0.09,3.35,0.53,Not Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,3 studies enrolling 298 patients,"PubMed from January 1 until April 19, 2020",,Y,N
2,2020-05-14,"Obesity and COVID-19 Severity in a Designated Hospital in Shenzhen, China",https://doi.org/10.2337/dc20-0576,Diabetes care,OR 1.07,0.38,3.04,0.89,,,,,,,,,,,,Retrospective observational study,383,"Third People’s Hospital of Shenzhen, from 11 January 2020 to 16 February 2020 (followed until 26 March 2020)",,N,N
3,2020-05-14,The association of cardiovascular disease and other pre-existing comorbidities with COVID-19 mortality: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.10.20097253v1?rss=1,MedRxiv,,,,,,,,RR 1.57,0.7,3.5,,Not Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,2 studies,"PubMed (MEDLINE), OVID (MEDLINE, HEALTHSTAR), SCOPUS, and medrxiv.org from October 1, 2019 to May 1, 2026",,N,N
4,2020-05-13,Effects of pre-existing morbidities on occurrence of death among COVID-19 disease patients: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.08.20095968v1?rss=1,MedRxiv,,,,,,,,OR=1.44,1.21,1.71,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,36398,"Medline, Web of Science, Scopus, and CINAHL were searched, concluded on May 01, 2020",,N,N
5,2020-05-07,OpenSAFELY: factors associated with COVID-19-related hospital death in the linked electronic health records of 17 million adult NHS patients.,http://medrxiv.org/cgi/content/short/2020.05.06.20092999v1?rss=1,MedRxiv,,,,,,,,AHR 1.61,1.33,1.95,,Significant,Adjusted,Extracted,,Retrospective observational study,"17,425,445","TPP general practice in England from February 1 to April 25, 2020.",,N,N
6,2020-04-29,"Role of Drugs Affecting the Renin-Angiotensin-Aldosterone System on Susceptibility and Severity of COVID-19: A Large Case-Control Study from Zheijang Province, China.",https://doi.org/10.1101/2020.04.24.20077875,medrxiv,AOR: 0.83,0.32,2.18,0.71,Not Significant,Adjusted,Extracted,,,,,,,,,Retrospective observational study,610,"14 hospitals in Zhejiang province, China between Jan 10 and Feb 28, 2020 and confirmed diagnosis of Covid-19 infection were included",,N,N
7,2020-04-25,The role of comorbidities and clinical predictors of severe disease in COVID-19: a systematic review and meta-analysis Emails,http://doi.org/10.1101/2020.04.21.20074633,,OR 1.25,0.35,4.41,,Not Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,6 studies,"PubMed, Scopus, EMBASE, Web of Science, and Google Scholar searched through March 12 2026",,Y,N
8,2020-04-08,Does comorbidity increase the risk of patients with COVID-19: evidence from meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7185114/,Aging,OR 0.67,0.3,1.49,,Not Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,1558,"PubMed (Medline), EMBASE, Springer, Web of Science, and Cochrane Library databases up to date to March 1, 2020",,N,N
9,2020-04-03,"Preliminary Estimates of the Prevalence of Selected Underlying Health Conditions Among Patients with Coronavirus Disease 2019 — United States, February 12–March 28, 2020 [MMWR Morb Mortal Wkly Rep]",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7119513/,Morbidity and Mortality Weekly Report,OR 3.49,1.54,7.91,<0.01,Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,7162,"CDC passive surveillance registry as of March 28, 2021",,Y,N
10,2020-03-23,Prognostic value of C-reactive protein in patients with COVID-19,https://doi.org/10.1101/2020.03.21.20040360,medRxiv,,,,,,,,OR: 1.17 ,0.39,3.47,0.78,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,298,"Eastern Campus of Renmin Hospital of Wuhan University from Jan 30 to Feb 20, 2028",,N,Y
11,2020-02-23,ACP risk grade: a simple mortality index for patients with confirmed or suspected severe acute respiratory syndrome coronavirus 2 disease (COVID-19) during the early stage of outbreak in Wuhan China,https://doi.org/10.1101/2020.02.20.20025510,medRxiv,OR 0.56,0.21,1.53,0.26,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,577,"Wuhan Hankou Hospital from Jan 21 to Feb 5, 2020",,N,N
