,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,AOR 1.0,0.8,1.3,0.95,Not Significant,Adjusted,Extracted,,Retrospective observational study,2834,"Age > 50, New York City between March 1st and May 17th, 2020",,N,Y
1,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,AOR 4.0,1.6,10.4,<0.01,Significant,Adjusted,Extracted,,Retrospective observational study,572,"Age < 50, New York City between March 1st and May 17th, 2020",,N,Y
2,2020-05-20,Type 1 and Type 2 diabetes and COVID-19 related mortality in England: a whole population study,https://www.england.nhs.uk/wp-content/uploads/2020/05/valabhji-COVID-19-and-Diabetes-Paper-1.pdf,NHS England,,,,,,,,AOR 2.23,2.14,2.31,,Significant,Adjusted,Extracted,,Retrospective observational study,61414470,"All individuals registered with a GP practice in England and alive on the 19th February; data extracted on May 11, 2020.",,N,N
3,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,,,,,,,,AOR=1.43,0.5,4.06,0.5,Not Significant,Adjusted,Extracted,,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
4,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,,,,,,,,AOR=1.46,0.52,4.13,0.47,Not Significant,Adjusted,Extracted,,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
5,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,OR=1.45,0.62,3.41,0.39,Not Significant,Not Adjusted,Extracted,OR=3.18,1.46,6.93,<0.05,Significant,Not Adjusted,Extracted,,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
6,2020-05-14,The association of cardiovascular disease and other pre-existing comorbidities with COVID-19 mortality: A systematic review and meta-analysis,http://medrxiv.org/cgi/content/short/2020.05.10.20097253v1?rss=1,MedRxiv,,,,,,,,RR 2.66,1.58,4.48,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,3 studies,"PubMed (MEDLINE), OVID (MEDLINE, HEALTHSTAR), SCOPUS, and medrxiv.org from October 1, 2019 to May 1, 2027",,N,N
7,2020-05-07,Coronavirus disease 2019 (COVID-19) and cardiovascular risk: A meta-analysis,https://doi.org/10.1016/j.pcad.2020.05.001,Progress in Cardiovascular Disease,OR 9.77,5.36,17.79,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,3 studies,"MEDLINE, Embase, Cochrane Database of Systematic Reviews, Scopus, and Web of Science as well as preprint servers from December 2019 through April 10, 2020",,Y,N
8,2020-04-29,Supplementing the National Early Warning Score (NEWS2) for anticipating early deterioration among patients with COVID-19 infection,https://doi.org/10.1101/2020.04.24.20078006,medrxiv,OR 2.10,1.2,3.68,0.01,,,,,,,,,,,,Retrospective observational study,708,UK NHS hospital from 1st March to 5th April 2020,,Y,N
9,2020-04-27,Estimating Survival of Hospitalized COVID-19 Patients from Admission Information,http://doi.org/10.1101/2020.04.22.20075416,medrxiv,,,,,,,,OR 4.00,3.04,5.25,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,5233,"Northwell Health acute care hospitals on or after March 1, 2020, and were discharged or died before April 12, 2020. Clinical outcomes (i.e., discharges, mortality, and length of stay) were monitored until April 12, 2020, the final date of follow-up",,N,Y
10,2020-04-26,ICU and ventilator mortality among critically ill adults with COVID-19,https://doi.org/10.1101/2020.04.23.20076737,MedRxiv,,,,,,,,OR 1.25,0.57,2.72,0.57,Not Significant,Not Adjusted,Calculated,,Retrospective observational study,217,"ICU of Emory Healthcare acute-care hospitals in Atlanta, Georgia from March 6, 2020 through April 17, 2029",,N,N
11,2020-04-16,Characteristics and outcomes of a cohort of SARS-CoV-2 patients in the Province of Reggio,http://doi.org/10.1101/2020.04.13.20063545,,,,,,,,,HR 2.3,1.6,3.2,,Significant,Adjusted,Extracted,,Retrospective observational study,2362,"All patients in Reggio Emilia, Italiy from Feb 27 to April 2, 2028",,N,N
12,2020-04-16,Cardiovascular Diseases and COVID-19 Mortality and Intensive Care Unit Admission: A Systematic Review and Meta-analysis,https://doi.org/10.1101/2020.04.12.20062869,MedRxiv,,,,,,,,OR=11.73,5.17,26.6,,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,,"PubMed, Embase, Cochrane Library, Scopus, Web of Science as well as medRxiv pre-print database, journal websites and Google Scholar",,N,N
13,2020-04-11,"Factors associated with hospitalization and critical illness among 4,103 patients with",http://doi.org/10.1101/2020.04.08.20057794,medRxiv,OR 1.31,0.73,2.34,0.36,Not Significant,Not Adjusted,Extracted,,,,,,,,,Cross-sectional study,4103,"Single-center study in  New York City between March 1, 2020 and April 2, 2020, with follow up through April 7, 2025",,Y,N
14,2020-04-03,History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study,https://doi.org/10.1101/2020.03.23.20041848,medRxiv,,,,,,,,HR 1.9,0.9,3.9,0.1,Not Significant,Not Adjusted,Extracted,,Retrospective observational study,275,"mainland China outside of Hubei Province, from December 18th, 2019 to March 8, 2022",,N,N
15,2020-04-02,"Clinical features of 95 sequential hospitalised patients with novel coronavirus 2019 disease (COVID-19), the first UK cohort",doi.org/10.1016/j.jinf.2020.04.020,Journal of Infection,,,,,,,,OR 4.51,1.39,14.61,0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,95,"North Bristol NHS Trust March 10 to March 30, 2020",,N,N
16,2020-02-20,Clinical characteristics and outcomes of 112 cardiovascular disease patients infected by 2019-nCoV,https://doi.org/10.3760/cma.j.cn112148-20200220-00105,Chinese Journal of Cardiovascular Disease,,,,,,,,OR 8.19,2.45,27.34,<0.01,Significant,Not Adjusted,Calculated,,Retrospective observational study,112,"West Hospital of Wuhan Union Hospital from January 20, 2020 to February 15, 2020",,N,Y
