,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,AOR 1.1,0.9,1.3,0.42,Not Significant,Adjusted,Extracted,,Retrospective observational study,2834,"Age > 50, New York City between March 1st and May 17th, 2020",,N,Y
1,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,AOR 1.1,0.5,2.3,0.76,Not Significant,Adjusted,Extracted,,Retrospective observational study,572,"Age < 50, New York City between March 1st and May 17th, 2020",,N,Y
2,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.25,1.14,1.37,,Significant,Not Adjusted,Extracted,RR 0.73,0.61,0.86,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2490,"111 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,Y
3,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.31,1.16,1.47,,Significant,Adjusted,Extracted,RR 1.09,0.92,1.3,,Not Significant,Adjusted,Extracted,,Retrospective observational study,2490,"112 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,Y
4,2020-05-22,Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.,https://doi.org/10.1136/bmj.m1985,BMJ,,,,,,,,HR=1.33,1.19,1.49,<0.05,Significant,Adjusted,Extracted,,Prospective observational study,20133,"208 acute care hospitals in England, Wales, and Scotland between 6 February and 19 April 2020",,N,N
5,2020-05-19,Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19,https://www.ncbi.nlm.nih.gov/pubmed/32423368/,Otolaryngol Head Neck Surg,AOR=1.46,0.87,2.46,0.15,Not Significant,Adjusted,Extracted,,,,,,,,,Retrospective observational study,486,"Ten hospitals in the Chicago metropolitan area from March 1, 2020 to April 8, 2020",,Y,N
6,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,AOR=3.19,1.42,7.17,<0.05,Significant,Adjusted,Extracted,AOR=3.35,1.43,7.87,<0.05,Significant,Adjusted,Extracted,,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
7,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,AOR=3.87,1.47,10.18,<0.05,Significant,Adjusted,Extracted,AOR=3.78,1.45,9.83,<0.05,Significant,Adjusted,Extracted,,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
8,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,AOR=4.06,1.72,9.57,<0.05,Significant,Adjusted,Extracted,AOR=3.94,1.56,9.92,<0.05,Significant,Adjusted,Extracted,,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
9,2020-05-16,"Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York",https://www.ncbi.nlm.nih.gov/pubmed/32422233/,Metabolism,OR=2.72,1.24,5.96,<0.05,Significant,Not Adjusted,Extracted,OR=2.56,1.18,5.57,<0.05,Significant,Not Adjusted,Extracted,,Retrospective observational study,200,"Montefiore Medical Center in the Bronx, New York admission from March 9, 2020 to March 22, 2020 (followed up through April 12, 2020)",,Y,N
