,Date,Study,Study Link,Journal,Severe,Severe lower bound,Severe upper bound,Severe p-value,Severe Significant,Severe Adjusted,Severe Calculated,Fatality,Fatality lower bound,Fatality upper bound,Fatality p-value,Fatality Significant,Fatality Adjusted,Fatality Calculated,Multivariate adjustment,Study Type,Sample Size,Study Population,Added on,Critical only,Discharged vs. death?
0,2020-06-30,Prevalence and severity of corona virus disease 2019 (COVID-19): A systematic review and meta-analysis,https://doi.org/10.1016/j.jcv.2020.104371,Journal of Virology,,,,,,,,ES=0.44,0.27,0.62,<0.05,Significant,Not Adjusted,Extracted,,Systematic review and meta-analysis,"21 Studies, 47,344 patients","Medline, Sino Med, EMBASE, and Cochrane Library databases from Jan 1, 2020 to Mar 10, 2020",,N,N
1,2020-06-30,"Clinical features and short-term outcomes of 221 patients with COVID-19 in Wuhan, China",https://doi.org/10.1016/j.jcv.2020.104364,Journal of Clinical Virology,OR 1.47,0.57,3.81,0.43,Not Significant,Not Adjusted,Calculated,,,,,,,,,Retrospective observational study,221,"Zhongnan Hospital of Wuhan University, Wuhan, China from January 2, 2020 to February 10, 2020",,N,N
2,2020-05-25,Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246302/,Int J Public Health,OR 2.72,0.7,10.6,,Not Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,Not reported out of 7 studies enrolling 2912 patients,"MEDLINE, EMBASE and Global Health",,Y,N
3,2020-05-25,Predictive symptoms and comorbidities for severe COVID-19 and intensive care unit admission: a systematic review and meta-analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7246302/,Int J Public Health,OR 3.12,1.0,9.75,,Significant,Not Adjusted,Extracted,,,,,,,,,Systematic review and meta-analysis,Not reported out of 7 studies enrolling 2912 patients,"MEDLINE, EMBASE and Global Health",,N,N
4,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,AOR 1.3,0.7,2.6,0.44,Not Significant,Adjusted,Extracted,,Retrospective observational study,572,"Age < 50, New York City between March 1st and May 17th, 2020",,N,Y
5,2020-05-23,Morbid Obesity as an Independent Risk Factor for COVID-19 Mortality in Hospitalized Patients Younger than 50.,https://doi.org/10.1002/oby.22913,Obesity,,,,,,,,AOR 1.4,1.2,1.7,<0.01,Significant,Adjusted,Extracted,,Retrospective observational study,2834,"Age > 50, New York City between March 1st and May 17th, 2020",,N,Y
6,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.13,1.03,1.24,,Significant,Adjusted,Extracted,RR 1.19,1.01,1.4,,Significant,Adjusted,Extracted,,Retrospective observational study,2490,"114 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,Y
7,2020-05-22,Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET),http://medrxiv.org/cgi/content/short/2020.05.18.20103390v1?rss=1,MedRxiv,RR 1.20,1.08,1.34,,Significant,Not Adjusted,Extracted,RR 1.44,1.2,1.72,,Significant,Not Adjusted,Extracted,,Retrospective observational study,2490,"113 counties located in 14 states 113 (California, Colorado, Connecticut, Georgia, Iowa, Maryland, Michigan, Minnesota, New Mexico, New 114 York, Ohio, Oregon, Tennessee, and Utah)",,Y,Y
8,2020-05-22,Association of Diabetes Mellitus with Disease Severity and Prognosis in COVID-19: A Retrospective Cohort Study,https://doi.org/10.1016/j.diabres.2020.108227,Diabetes Res Clin Pract,,,,,,,,AHR=2.80,1.01,7.8,<0.05,Significant,Adjusted,Extracted,,Retrospective observational study,258,"West Court of Union Hospital of Huazhong University of Science and Technology from January 29 to February 12, 2020",,N,N
9,2020-05-22,Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.,https://doi.org/10.1136/bmj.m1985,BMJ,,,,,,,,HR=1.06,0.99,1.14,0.09,Not Significant,Adjusted,Extracted,,Prospective observational study,20133,"208 acute care hospitals in England, Wales, and Scotland between 6 February and 19 April 2020",,N,N
